country,scenario,month,predicted_norm_volume
Russia,no_tax_no_aml,12,0.006764946
Russia,no_license_no_ban,1,0.0053113354
Russia,no_license_no_ban,2,0.005779039
Russia,no_license_no_ban,3,0.0058201975
Russia,no_license_no_ban,4,0.0058509586
Russia,no_license_no_ban,5,0.00605183
Russia,no_license_no_ban,6,0.0060541267
Russia,no_license_no_ban,7,0.0059637884
Russia,no_license_no_ban,8,0.0061059645
Russia,no_license_no_ban,9,0.0059637884
Russia,no_license_no_ban,10,0.0058779987
Russia,no_license_no_ban,11,0.0061059645
Russia,no_license_no_ban,12,0.0059438897
Russia,Russia_with_United_States_policies,1,0.0057441345
Russia,Russia_with_United_States_policies,2,0.0061847446
Russia,Russia_with_United_States_policies,3,0.006291794
Russia,Russia_with_United_States_policies,4,0.0064263144
Russia,Russia_with_United_States_policies,5,0.0063514123
Russia,Russia_with_United_States_policies,6,0.0062580504
Russia,Russia_with_United_States_policies,7,0.0061762817
Russia,Russia_with_United_States_policies,8,0.006203376
Russia,Russia_with_United_States_policies,9,0.006217765
Russia,Russia_with_United_States_policies,10,0.006203376
Russia,Russia_with_United_States_policies,11,0.0064042476
Russia,Russia_with_United_States_policies,12,0.006203376
Russia,Russia_with_Indonesia_policies,1,0.006672958
Russia,Russia_with_Indonesia_policies,2,0.006866905
Russia,Russia_with_Indonesia_policies,3,0.006937468
Russia,Russia_with_Indonesia_policies,4,0.0071169026
Russia,Russia_with_Indonesia_policies,5,0.006989426
Russia,Russia_with_Indonesia_policies,6,0.0071428255
Russia,Russia_with_Indonesia_policies,7,0.006830893
Russia,Russia_with_Indonesia_policies,8,0.0067760483
Russia,Russia_with_Indonesia_policies,9,0.0066217757
Russia,Russia_with_Indonesia_policies,10,0.0067760483
Russia,Russia_with_Indonesia_policies,11,0.0065558846
Russia,Russia_with_Indonesia_policies,12,0.006649972
Indonesia,baseline,1,0.0056640874
Indonesia,baseline,2,0.00594619
Indonesia,baseline,3,0.0057765325
Indonesia,baseline,4,0.005794548
Indonesia,baseline,5,0.0057674535
Indonesia,baseline,6,0.0059801163
Indonesia,baseline,7,0.005524801
Indonesia,baseline,8,0.005590692
Indonesia,baseline,9,0.0057242857
Indonesia,baseline,10,0.005590692
Indonesia,baseline,11,0.0055518956
Indonesia,baseline,12,0.005590692
Indonesia,no_classified_as_commodity,1,0.0056640874
Indonesia,no_classified_as_commodity,2,0.006057481
Indonesia,no_classified_as_commodity,3,0.0057765325
Indonesia,no_classified_as_commodity,4,0.0060038934
Indonesia,no_classified_as_commodity,5,0.0059520556
Indonesia,no_classified_as_commodity,6,0.0058258423
Indonesia,no_classified_as_commodity,7,0.005590692
Indonesia,no_classified_as_commodity,8,0.005590692
Indonesia,no_classified_as_commodity,9,0.0057242857
Indonesia,no_classified_as_commodity,10,0.005744966
Indonesia,no_classified_as_commodity,11,0.0053248554
Indonesia,no_classified_as_commodity,12,0.005744966
Indonesia,no_classified_as_DFA,1,0.0057460726
Indonesia,no_classified_as_DFA,2,0.006139466
Indonesia,no_classified_as_DFA,3,0.005924409
Indonesia,no_classified_as_DFA,4,0.00591533
Indonesia,no_classified_as_DFA,5,0.006034041
Indonesia,no_classified_as_DFA,6,0.0060783764
Indonesia,no_classified_as_DFA,7,0.0056726774
Indonesia,no_classified_as_DFA,8,0.0058269515
Indonesia,no_classified_as_DFA,9,0.005628371
Indonesia,no_classified_as_DFA,10,0.0058432263
